 THE MAXIMUM DISCHARGE FOR: Grnway1         STRUCTURE NO.        1 IS:        62.89  AT TIME:     4.10
                                        INFLOW NODE:     35372 AND OUTFLOW NODE:     34515
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.12                     -0.12
                                     2.40               0.01                     -0.01
                                     2.50               0.01                     -0.01
                                     2.60               0.01                     -0.01
                                     2.70               0.01                     -0.01
                                     2.80               0.01                     -0.01
                                     2.90               0.01                     -0.01
                                     3.00               0.01                     -0.01
                                     3.10               0.02                     -0.02
                                     3.20               0.12                     -0.12
                                     3.30               0.31                     -0.31
                                     3.40               0.42                     -0.42
                                     3.50               0.46                     -0.46
                                     3.60               0.64                     -0.64
                                     3.70               1.02                     -1.02
                                     3.80               2.39                     -2.39
                                     3.90              21.18                    -21.18
                                     4.00              48.58                    -48.58
                                     4.10              62.89                    -62.89
                                     4.20              53.69                    -53.69
                                     4.30              39.16                    -39.16
                                     4.40              26.90                    -26.90
                                     4.50              19.08                    -19.08
                                     4.60              24.42                    -24.42
                                     4.70              40.25                    -40.25
                                     4.80              49.98                    -49.98
                                     4.90              51.88                    -51.88
                                     5.00              50.60                    -50.60
                                     5.10              48.51                    -48.51
                                     5.20              46.44                    -46.44
                                     5.30              44.38                    -44.38
                                     5.40              42.31                    -42.31
                                     5.50              39.91                    -39.91
                                     5.60              37.02                    -37.02
                                     5.70              34.17                    -34.17
                                     5.80              32.64                    -32.64
                                     5.90              31.36                    -31.36
                                     6.00              30.12                    -30.12
                                     6.10              29.05                    -29.05
                                     6.20              27.93                    -27.93
                                     6.30              26.92                    -26.92
                                     6.40              26.04                    -26.04
                                     6.50              25.04                    -25.04
                                     6.60              24.05                    -24.05
                                     6.70              23.51                    -23.51
                                     6.80              22.77                    -22.77
                                     6.90              21.92                    -21.92
                                     7.00              21.00                    -21.00
                                     7.10              20.12                    -20.12
                                     7.20              19.17                    -19.17
                                     7.30              17.91                    -17.91
                                     7.40              17.01                    -17.01
                                     7.50              16.26                    -16.26
                                     7.60              15.31                    -15.31
                                     7.70              14.75                    -14.75
                                     7.80              13.85                    -13.85
                                     7.90              12.95                    -12.95
                                     8.00              12.42                    -12.42
                                     8.10              11.76                    -11.76
                                     8.20              11.27                    -11.27
                                     8.30              10.75                    -10.75
                                     8.40              10.26                    -10.26
                                     8.50               9.99                     -9.99
                                     8.60               9.76                     -9.76
                                     8.70               9.54                     -9.54
                                     8.80               9.33                     -9.33
                                     8.90               9.18                     -9.18
                                     9.00               8.88                     -8.88
                                     9.10               8.71                     -8.71
                                     9.20               8.50                     -8.50
                                     9.30               8.30                     -8.30
                                     9.40               8.09                     -8.09
                                     9.50               7.80                     -7.80
                                     9.60               7.73                     -7.73
                                     9.70               7.40                     -7.40
                                     9.80               7.17                     -7.17
                                     9.90               7.00                     -7.00
                                    10.00               6.84                     -6.84

