Structure_Name,Time_hrs,Inflow_cfs,Outflow_cfs
Grnway1,0.1,0.0,0.0
Grnway1,0.2,0.0,0.0
Grnway1,0.3,0.0,0.0
Grnway1,0.4,0.0,0.0
Grnway1,0.5,0.0,0.0
Grnway1,0.6,0.0,0.0
Grnway1,0.7,0.0,0.0
Grnway1,0.8,0.0,0.0
Grnway1,0.9,0.0,0.0
Grnway1,1.0,0.0,0.0
Grnway1,1.1,0.0,0.0
Grnway1,1.2,0.0,0.0
Grnway1,1.3,0.0,0.0
Grnway1,1.4,0.0,0.0
Grnway1,1.5,0.0,0.0
Grnway1,1.6,0.0,0.0
Grnway1,1.7,0.0,0.0
Grnway1,1.8,0.0,0.0
Grnway1,1.9,0.0,0.0
Grnway1,2.0,0.0,0.0
Grnway1,2.1,0.0,0.0
Grnway1,2.2,0.0,0.0
Grnway1,2.3,0.12,-0.12
Grnway1,2.4,0.01,-0.01
Grnway1,2.5,0.01,-0.01
Grnway1,2.6,0.01,-0.01
Grnway1,2.7,0.01,-0.01
Grnway1,2.8,0.01,-0.01
Grnway1,2.9,0.01,-0.01
Grnway1,3.0,0.01,-0.01
Grnway1,3.1,0.02,-0.02
Grnway1,3.2,0.12,-0.12
Grnway1,3.3,0.31,-0.31
Grnway1,3.4,0.42,-0.42
Grnway1,3.5,0.46,-0.46
Grnway1,3.6,0.64,-0.64
Grnway1,3.7,1.02,-1.02
Grnway1,3.8,2.39,-2.39
Grnway1,3.9,21.18,-21.18
Grnway1,4.0,48.58,-48.58
Grnway1,4.1,62.89,-62.89
Grnway1,4.2,53.69,-53.69
Grnway1,4.3,39.16,-39.16
Grnway1,4.4,26.9,-26.9
Grnway1,4.5,19.08,-19.08
Grnway1,4.6,24.42,-24.42
Grnway1,4.7,40.25,-40.25
Grnway1,4.8,49.98,-49.98
Grnway1,4.9,51.88,-51.88
Grnway1,5.0,50.6,-50.6
Grnway1,5.1,48.51,-48.51
Grnway1,5.2,46.44,-46.44
Grnway1,5.3,44.38,-44.38
Grnway1,5.4,42.31,-42.31
Grnway1,5.5,39.91,-39.91
Grnway1,5.6,37.02,-37.02
Grnway1,5.7,34.17,-34.17
Grnway1,5.8,32.64,-32.64
Grnway1,5.9,31.36,-31.36
Grnway1,6.0,30.12,-30.12
Grnway1,6.1,29.05,-29.05
Grnway1,6.2,27.93,-27.93
Grnway1,6.3,26.92,-26.92
Grnway1,6.4,26.04,-26.04
Grnway1,6.5,25.04,-25.04
Grnway1,6.6,24.05,-24.05
Grnway1,6.7,23.51,-23.51
Grnway1,6.8,22.77,-22.77
Grnway1,6.9,21.92,-21.92
Grnway1,7.0,21.0,-21.0
Grnway1,7.1,20.12,-20.12
Grnway1,7.2,19.17,-19.17
Grnway1,7.3,17.91,-17.91
Grnway1,7.4,17.01,-17.01
Grnway1,7.5,16.26,-16.26
Grnway1,7.6,15.31,-15.31
Grnway1,7.7,14.75,-14.75
Grnway1,7.8,13.85,-13.85
Grnway1,7.9,12.95,-12.95
Grnway1,8.0,12.42,-12.42
Grnway1,8.1,11.76,-11.76
Grnway1,8.2,11.27,-11.27
Grnway1,8.3,10.75,-10.75
Grnway1,8.4,10.26,-10.26
Grnway1,8.5,9.99,-9.99
Grnway1,8.6,9.76,-9.76
Grnway1,8.7,9.54,-9.54
Grnway1,8.8,9.33,-9.33
Grnway1,8.9,9.18,-9.18
Grnway1,9.0,8.88,-8.88
Grnway1,9.1,8.71,-8.71
Grnway1,9.2,8.5,-8.5
Grnway1,9.3,8.3,-8.3
Grnway1,9.4,8.09,-8.09
Grnway1,9.5,7.8,-7.8
Grnway1,9.6,7.73,-7.73
Grnway1,9.7,7.4,-7.4
Grnway1,9.8,7.17,-7.17
Grnway1,9.9,7.0,-7.0
Grnway1,10.0,6.84,-6.84
Grnway2,0.1,0.0,0.0
Grnway2,0.2,0.0,0.0
Grnway2,0.3,0.0,0.0
Grnway2,0.4,0.0,0.0
Grnway2,0.5,0.0,0.0
Grnway2,0.6,0.0,0.0
Grnway2,0.7,0.0,0.0
Grnway2,0.8,0.0,0.0
Grnway2,0.9,0.0,0.0
Grnway2,1.0,0.0,0.0
Grnway2,1.1,0.0,0.0
Grnway2,1.2,0.0,0.0
Grnway2,1.3,0.0,0.0
Grnway2,1.4,0.0,0.0
Grnway2,1.5,0.0,0.0
Grnway2,1.6,0.0,0.0
Grnway2,1.7,0.0,0.0
Grnway2,1.8,0.0,0.0
Grnway2,1.9,0.11,-0.11
Grnway2,2.0,0.01,-0.01
Grnway2,2.1,0.01,-0.01
Grnway2,2.2,0.1,-0.1
Grnway2,2.3,0.26,-0.26
Grnway2,2.4,0.32,-0.32
Grnway2,2.5,0.39,-0.39
Grnway2,2.6,0.48,-0.48
Grnway2,2.7,0.7,-0.7
Grnway2,2.8,0.86,-0.86
Grnway2,2.9,0.9,-0.9
Grnway2,3.0,0.92,-0.92
Grnway2,3.1,0.99,-0.99
Grnway2,3.2,1.1,-1.1
Grnway2,3.3,1.22,-1.22
Grnway2,3.4,1.48,-1.48
Grnway2,3.5,1.82,-1.82
Grnway2,3.6,4.81,-4.81
Grnway2,3.7,16.18,-16.18
Grnway2,3.8,22.93,-22.93
