x,y,z,grid_size,area
656980.3593,963885.0,1405.2487,,
656980.3593,963855.0,1404.9786,30.0,900.0
656980.3593,963825.0,1404.5996,30.0,900.0
656980.3593,963795.0,1404.944,30.0,900.0
656980.3593,963765.0,1404.9144,30.0,900.0
656980.3593,963735.0,1404.4719,30.0,900.0
656980.3593,963705.0,1403.8992,30.0,900.0
656980.3593,963675.0,1402.2816,30.0,900.0
656980.3593,963645.0,1402.4379,30.0,900.0
656980.3593,963615.0,1402.3787,30.0,900.0
656980.3593,963585.0,1402.3567,30.0,900.0
656980.3593,963555.0,1402.0262,30.0,900.0
656980.3593,963525.0,1401.8596,30.0,900.0
656980.3593,963495.0,1401.9233,30.0,900.0
656980.3593,963465.0,1401.7399,30.0,900.0
656980.3593,963435.0,1401.6014,30.0,900.0
656980.3593,963405.0,1401.4462,30.0,900.0
656980.3593,963375.0,1401.438,30.0,900.0
656980.3593,963345.0,1401.4269,30.0,900.0
656980.3593,963315.0,1400.2957,30.0,900.0
656980.3593,963285.0,1400.6329,30.0,900.0
656980.3593,963255.0,1400.283,30.0,900.0
656980.3593,963225.0,1399.2438,30.0,900.0
656980.3593,963195.0,1399.1921,30.0,900.0
656980.3593,963165.0,1399.412,30.0,900.0
656980.3593,963135.0,1398.9656,30.0,900.0
656980.3593,963105.0,1399.614,30.0,900.0
656980.3593,963075.0,1399.4635,30.0,900.0
656980.3593,963045.0,1396.2036,30.0,900.0
656980.3593,963015.0,1396.1864,30.0,900.0
656980.3593,962985.0,1396.3296,30.0,900.0
656980.3593,962955.0,1396.686,30.0,900.0
656980.3593,962925.0,1396.6576,30.0,900.0
656980.3593,962895.0,1396.8038,30.0,900.0
656980.3593,962865.0,1397.2517,30.0,900.0
656980.3593,962835.0,1397.3822,30.0,900.0
656980.3593,962805.0,1395.213,30.0,900.0
656980.3593,962775.0,1395.1136,30.0,900.0
656980.3593,962745.0,1396.6013,30.0,900.0
656980.3593,962715.0,1396.5377,30.0,900.0
656980.3593,962685.0,1396.4993,30.0,900.0
656980.3593,962655.0,1396.3971,30.0,900.0
656980.3593,962625.0,1396.1904,30.0,900.0
656980.3593,962595.0,1394.8396,30.0,900.0
656980.3593,962565.0,1393.9895,30.0,900.0
656980.3593,962535.0,1395.1519,30.0,900.0
656980.3593,962505.0,1393.0757,30.0,900.0
656980.3593,962475.0,1392.1537,30.0,900.0
656980.3593,962445.0,1391.9398,30.0,900.0
656980.3593,962415.0,1391.6827,30.0,900.0
656980.3593,962385.0,1391.2064,30.0,900.0
656980.3593,962355.0,1390.6251,30.0,900.0
656980.3593,962325.0,1390.1805,30.0,900.0
656980.3593,962295.0,1389.7291,30.0,900.0
656980.3593,962265.0,1387.7495,30.0,900.0
656980.3593,962235.0,1386.3241,30.0,900.0
656980.3593,962205.0,1385.5865,30.0,900.0
656980.3593,962175.0,1384.9021,30.0,900.0
656980.3593,962145.0,1384.5582,30.0,900.0
656980.3593,962115.0,1384.3629,30.0,900.0
656980.3593,962085.0,1384.1509,30.0,900.0
656980.3593,962055.0,1383.6919,30.0,900.0
656980.3593,962025.0,1383.4434,30.0,900.0
656980.3593,961995.0,1383.2682,30.0,900.0
656980.3593,961965.0,1383.0668,30.0,900.0
656980.3593,961935.0,1382.788,30.0,900.0
656980.3593,961905.0,1382.4802,30.0,900.0
656980.3593,961875.0,1382.0619,30.0,900.0
656980.3593,961845.0,1381.9038,30.0,900.0
656980.3593,961815.0,1381.8999,30.0,900.0
656980.3593,961785.0,1382.5612,30.0,900.0
656980.3593,961755.0,1384.6542,30.0,900.0
656980.3593,961725.0,1387.7972,30.0,900.0
656980.3593,961695.0,1392.0013,30.0,900.0
656980.3593,961665.0,1394.1492,30.0,900.0
656980.3593,961635.0,1394.0046,30.0,900.0
656980.3593,961605.0,1393.8926,30.0,900.0
656980.3593,961575.0,1393.7804,30.0,900.0
656980.3593,961545.0,1392.8025,30.0,900.0
656980.3593,961515.0,1389.5691,30.0,900.0
656980.3593,961485.0,1391.9844,30.0,900.0
656980.3593,961455.0,1392.5483,30.0,900.0
656980.3593,961425.0,1392.8418,30.0,900.0
656980.3593,961395.0,1393.0906,30.0,900.0
656980.3593,961365.0,1393.4187,30.0,900.0
656980.3593,961335.0,1393.7567,30.0,900.0
656980.3593,961305.0,1394.0869,30.0,900.0
656980.3593,961275.0,1394.3209,30.0,900.0
656980.3593,961245.0,1394.5403,30.0,900.0
656980.3593,961215.0,1394.7399,30.0,900.0
656980.3593,961185.0,1394.9215,30.0,900.0
656980.3593,961155.0,1395.0222,30.0,900.0
656980.3593,961125.0,1395.108,30.0,900.0
656980.3593,961095.0,1395.1672,30.0,900.0
656980.3593,961065.0,1395.259,30.0,900.0
656980.3593,961035.0,1395.098,30.0,900.0
656980.3593,961005.0,1394.9347,30.0,900.0
656980.3593,960975.0,1394.9758,30.0,900.0
656980.3593,960945.0,1394.9667,30.0,900.0
656980.3593,960915.0,1394.9152,30.0,900.0
656980.3593,960885.0,1394.9314,30.0,900.0
656980.3593,960855.0,1395.1125,30.0,900.0
656980.3593,960825.0,1395.4269,30.0,900.0
656980.3593,960795.0,1395.7611,30.0,900.0
656980.3593,960765.0,1396.0952,30.0,900.0
656980.3593,960735.0,1395.5317,30.0,900.0
656980.3593,960705.0,1392.24,30.0,900.0
